,Гадяцький,,,,,,,Зіньківський,,,,,,,Золотоніський,,,,,,,Кобеляцький,,,,,,,Костянтиноградський,,,,,,,Кременчуцький,,,,,,,Лохвицький,,,,,,,Лубенський,,,,,,,Миргородський,,,,,,,Переяславський,,,,,,,Полтавський,,,,,,,Прилуцький,,,,,,,Пирятинський повіт,,,,,,,Роменський повіт,,,,,,,Хорольський повіт,,,,,,,Губернія загалом,,,,,,
,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,
,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.
1835,1580,1522,3102,752,1671,1739,3410,1319,1261,2580,677,1184,1310,2494,2206,2061,4267,1328,2167,2157,4324,1537,1474,3011,1021,1367,1357,2724,2411,2184,4595,1437,1537,1525,3062,1821,1686,3507,1134,1647,1563,3210,1402,1269,2671,748,1351,1449,2800,1465,1352,2817,890,1498,1554,3052,1556,1432,2988,787,1494,1517,3011,1807,1770,3577,1226,1961,2088,4049,2009,1808,3817,1099,1485,1438,2923,2244,2141,4385,1360,2160,2223,4383,1533,1507,3040,1017,1710,1719,3429,2438,2285,4723,1154,1850,1875,3725,1601,1522,3123,1057,1388,1477,2865,26929,25274,52203,15687,24470,24991,49461
1836,1996,2108,4104,1214,1763,1831,3594,1701,1628,3329,937,1290,1248,2538,2892,2785,5677,1482,1702,1814,3516,2326,2114,4440,1210,1718,1650,3368,3007,2761,5768,1294,1538,1439,2977,2350,2241,4591,1205,1418,1353,2771,1763,1747,3510,898,1339,1341,2680,1854,1847,3701,1074,1481,1354,2835,2197,2031,4228,1169,1584,1544,3128,2813,2666,5479,1278,1767,1727,3494,2520,2313,4833,1249,1419,1419,2838,2812,2743,5555,1429,2119,2075,4194,2120,2126,4246,1110,1634,1542,3176,2805,2495,5300,1338,1804,1871,3675,2208,2074,4282,1199,1213,1160,2373,35364,33679,69043,18086,23789,23368,47157
1837,2332,2281,4613,1247,1894,1951,3845,1869,1860,3729,941,1659,1671,3330,3127,3007,6134,1443,1857,1719,3576,2344,2120,4464,1096,1473,1483,2956,2714,2800,5514,1224,1708,1818,3526,2412,2201,4613,1011,1356,1357,2713,2048,1933,3981,964,1454,1537,2991,2117,1949,4066,1072,1388,1309,2697,2189,2115,4304,1233,2038,2190,4228,2697,2560,5257,1273,1942,1933,3875,2412,2251,4663,1176,1801,1761,3562,2907,2929,5836,1432,1992,2084,4076,2438,2208,4646,1091,1556,1467,3023,2917,2730,5647,1353,2012,1936,3948,2206,2056,4262,1087,1659,1526,3185,36729,35000,71729,17643,25789,25742,51531
1838,2101,2092,4193,1076,1697,1642,3339,1765,1811,3576,806,1634,1808,3442,3004,2759,5763,1184,2652,2678,5330,2396,2228,4624,1134,1199,1175,2374,2962,2780,5742,1273,1617,1742,3359,2218,2238,4456,1028,1570,1548,3118,1890,1735,3625,775,1783,1714,3497,1955,1835,3790,845,1758,1787,3545,2078,2062,4140,1106,1880,1946,3826,2632,2331,4963,1019,2053,1978,4031,2384,2359,4743,1127,1903,1705,3608,2755,2602,5357,1158,2559,2683,5242,2268,2170,4438,958,2072,2137,4209,2767,2599,5366,1275,2369,2188,4557,2242,2149,4391,940,1696,1739,3435,35417,33750,69167,15704,28442,28470,56912
1839,2317,2198,4515,854,1475,1493,2968,1876,1803,3679,693,1256,1319,2575,3478,3256,6734,1096,2497,2648,5145,2670,2330,5000,848,1576,1536,3112,3234,3001,6235,926,1690,1718,3408,2688,2548,5236,742,1250,1272,2522,2230,1953,4183,732,1443,1527,2970,2157,2072,4229,735,1464,1444,2908,2423,2346,4769,930,1435,1456,2891,2777,2696,5473,789,2090,2107,4197,2785,2586,5371,942,1619,1579,3198,2955,2821,5776,1023,2249,2307,4556,2534,2346,4880,760,1731,1721,3452,3058,2923,5981,1206,2263,2256,4519,2682,2404,5086,894,1276,1279,2555,39864,37283,77147,13170,25314,25662,50976
1840,1640,1522,3162,390,1593,1620,3213,1356,1336,2692,392,1247,1289,2536,2630,2567,5197,682,2318,2412,4730,2168,2169,4337,843,1562,1463,3025,2535,2402,4937,802,2141,2166,4307,2016,1981,3997,710,1694,1756,3450,1572,1585,3157,405,1534,1435,2969,1702,1629,3331,414,1553,1553,3106,1658,1581,3239,410,1679,1677,3356,2394,2203,4597,736,2083,1974,4057,2092,1985,4077,646,1769,1640,3409,2419,2295,4714,654,2224,2229,4453,1814,1817,3631,510,1775,1843,3618,2519,2404,4923,702,2285,2166,4451,1881,1766,3647,590,1679,1642,3321,30396,29242,59638,8886,27136,26865,54001
1841,2222,1973,4195,905,1632,1731,3363,1712,1567,3279,708,1113,1116,2229,3061,2860,5921,1227,2133,2118,4251,2669,2555,5224,1081,1407,1331,2738,3084,2753,5837,1381,2035,1955,3990,2515,2303,4818,986,1707,1591,3298,1858,1655,3513,729,1334,1278,2612,2023,1840,3863,879,1510,1549,3059,2040,2035,4075,906,1763,1757,3520,2710,2627,5337,1198,2311,2296,4607,2655,2450,5105,1095,1716,1628,3344,2771,2699,5470,1227,2229,2189,4418,2290,2238,4528,1035,1720,1714,3434,2751,2601,5352,1274,1769,1709,3478,2503,2281,4784,909,1971,1053,3024,36864,34437,71301,15540,26350,25015,51365
