Станом на 1850 рік,Гадяцький,,,Зіньківський,,,Золотоніський,,,Кобеляцький,,,Костянтиноградський,,,Кременчуцький,,,Лохвицький,,,Лубенський,,,Миргородський ,,,Переяславський,,,Полтавський,,,Прилуцький,,,Пирятинський,,,Роменський,,,Хорольський,,,Губернія загалом,,
,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.
Купцов 1-й гильдии,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
Купцов 2-й гильдии,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,13,17,30,0,0,0,4,1,5,0,0,0,7,3,10,18,15,33,0,0,0,0,0,0,6,5,11,0,0,0,52,46,98
Купцов 3-й гильдии,123,119,242,56,67,123,110,124,234,89,84,173,116,107,223,659,638,1297,36,39,75,108,89,197,48,45,93,162,176,338,191,184,375,93,94,187,66,63,129,218,224,442,65,64,129,2140,2117,4257
Мещан и цеховых,1703,1780,3483,1165,1210,2375,1226,1616,3242,484,508,992,541,554,1095,6918,7354,14372,1333,1544,2877,739,754,1493,841,805,1646,2239,2304,4543,3229,3388,6617,2790,2946,5736,778,809,1587,1538,1602,3140,526,516,1042,26250,27308,53558
Крестьян государственных разн. наименований,7494,7903,15397,2194,2295,4489,3898,4141,8039,779,794,1573,1819,1839,3658,3584,3761,7345,1287,1544,2831,3029,3162,6191,432,461,893,5236,5439,10675,3105,3369,6474,4023,4639,8662,3745,3691,7436,6539,7152,13691,1276,1232,2508,48620,51442,100062
Крестьян государственных водвор. на собств. земл.,8,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36,36,46,82,5,7,12,0,0,0,23,23,46,0,0,0,23,24,47,0,0,0,0,0,0,112,133,245
Малороссийских козаков,15805,15974,31779,30628,32198,62826,31203,33280,64483,32320,33961,66281,2924,2983,5907,27844,29177,57021,27759,29230,56989,20444,21440,41884,27957,29697,57656,25093,26322,51415,27686,29133,5689,17496,18558,36084,10391,10946,21337,30085,32289,62374,22153,22763,44916,398068,367983,717050
Однодворцев,0,0,0,0,0,0,0,0,0,0,0,0,6663,6974,13637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6663,6975,13637
Однодворческих крестьян,0,0,0,0,0,0,0,0,0,0,0,0,37,48,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,85
