Станом на 1848 рік,Гадяцький,,,Зіньківський,,,Золотоніський,,,Кобеляцький,,,Костянтиноградський,,,Кременчуцький,,,Лохвицький,,,Лубенський ,,,Миргородський,,,Переяславський,,,Полтавський,,,Прилуцький,,,Пирятинський,,,Роменський,,,Хорольський,,,Вся губернія,,
Сословия жителей,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м.,ж.,о.п.,м.,ж.,о.п.,м.,ж.,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.
По уезду,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дворян всех разрядов,297,264,561,1131,1078,2209,1874,1502,3376,463,561,1024,250,254,504,1190,1104,2294,484,524,1008,497,506,1003,978,1007,1984,919,986,1905,534,592,1126,653,669,1322,548,516,1064,Інформація про населення по станах відсутня,,,645,685,1330,10483,10248,20731
Белого духовенства с причтом,283,331,614,362,432,785,404,516,920,298,403,701,144,148,292,250,277,527,299,322,621,365,385,750,239,284,523,409,474,883,192,391,583,410,406,816,220,250,470,Є тільки підсумок,,,271,229,500,4146,4839,8985
Иночествующих,0,0,0,0,17,17,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,31,72,103,0,0,0,,,,0,0,0,47,186,233
Купечества всех разрядов,11,12,23,14,11,25,20,25,45,17,7,24,0,0,0,10,13,23,1,1,2,2,5,7,3,10,13,9,17,26,25,23,48,0,0,0,8,14,22,,,,22,17,39,142,155,297
Крестьян помещичьих,20950,21165,42115,10136,11079,21215,42363,43641,86004,10200,10809,21009,32459,33081,65540,18010,18244,36254,19259,19708,38967,13711,14764,28475,17917,19836,37753,21335,21493,42828,21775,22435,44210,32396,33041,65437,32155,33335,65490,,,,26272,26828,53100,318911,329459,648370
Крестьян Государственных имуществ,20903,21064,41967,31248,31646,62894,31472,30847,62319,21231,22153,43384,10661,10205,20866,22495,22686,45181,27633,27841,55474,22761,23277,46038,27161,28064,55225,40356,40710,81066,28488,29284,57772,22374,24245,46619,13224,13438,26662,,,,22250,24372,46622,342257,349832,692089
Вольных хлебопашцев,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,39,12,17,29,0,0,0,0,0,0,19,24,43,0,0,0,0,0,0,,,,2,4,6,52,67,119
Мещан всех разрядов,57,62,119,178,164,342,344,376,720,120,114,234,0,0,0,1307,1325,2632,63,47,110,0,0,0,53,62,115,266,288,554,293,3289,3582,120,128,248,63,83,146,,,,252,245,497,3116,3222,6338
Крестьян удельных,0,0,0,0,0,0,0,0,0,0,0,0,306,310,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,306,310,616
Однодворцев с их крестьянами,0,0,0,0,0,0,0,0,0,0,0,0,6586,6706,13292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,3,5,6588,6709,13297
Итого по уездам,42502,42899,85401,43069,44418,87487,76477,77004,153481,32329,34047,66376,50406,50704,101110,43262,43649,86911,47457,48464,96221,37363,38954,76317,46351,49263,95614,63294,63968,127262,51326,53077,104403,55957,58561,114518,46218,47636,93854,56817,60739,117556,49716,52383,102099,742844,765766,1508610
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
По городу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дворян всех разрядов,69,49,118,227,170,397,167,113,280,89,98,187,93,125,218,249,258,507,23,20,43,133,85,218,126,66,192,64,37,101,1181,867,2048,70,74,144,41,57,98,169,114,283,91,43,134,2792,2176,4968
Белого духовенства с причтом,24,40,64,44,40,84,98,54,152,113,248,361,24,23,47,40,41,81,63,54,117,38,40,78,48,32,80,196,170,366,59,45,104,72,68,140,16,26,42,48,49,97,38,42,80,921,972,1893
Иночествующих,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
Купцов,75,71,146,60,64,124,49,36,85,58,57,115,27,39,66,381,521,902,17,25,42,46,49,95,21,19,40,119,104,223,212,203,415,73,45,118,35,32,67,217,159,376,57,36,93,1447,1460,2907
Мещан,1159,1186,2345,990,931,1921,845,847,1692,275,269,544,402,427,829,2855,3594,6449,0,0,0,553,600,1153,459,464,923,0,0,0,2416,2347,4763,2228,2194,4422,450,477,927,777,1584,2361,580,561,1141,13988,15481,29469
Почетных граждан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
Нижних чинов служащих,116,21,137,134,11,145,479,54,533,118,13,131,158,38,196,1016,22,1038,365,20,385,123,30,153,108,43,151,498,0,498,1923,327,2250,143,73,216,96,55,151,455,45,500,245,2,247,5977,754,6731
Нижних чинов оставных,48,18,66,47,39,86,57,45,102,52,40,92,34,60,94,200,30,230,37,30,67,37,26,63,20,20,40,99,100,199,287,194,481,114,140,254,55,85,140,51,43,94,57,40,97,1195,910,2105
Нижних чинов безсрочно-отпускных,19,15,34,9,36,45,6,4,10,14,19,33,4,11,15,74,0,74,20,5,25,0,7,7,9,20,29,3,24,27,63,19,82,49,37,86,5,4,9,6,0,6,29,11,40,310,212,522
Нижних чинов срочно-отпускных,20,5,25,2,1,3,15,7,22,27,9,36,0,0,0,74,10,84,20,0,20,50,20,70,0,0,0,28,13,41,40,12,52,23,17,40,0,0,0,17,0,17,0,0,0,326,94,420
Кантонистов,47,1,48,46,0,46,36,15,51,55,9,56,0,0,0,162,0,162,0,0,0,53,0,53,47,0,47,73,0,73,0,0,0,108,91,199,49,0,49,34,0,34,75,0,75,785,108,893
Вольно-отпускных,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,5,8,13,5,4,9,0,0,0,0,0,0,15,12,27,2,4,6,0,0,0,1,1,2,3,6,9,33,36,69
