Місто,Число дворів,Число мешканців,Заселеність дворів
Гадяч,743,4909,6.606998654
Зіньків,1178,7715,6.549235993
Золотоноша,824,5619,6.819174757
Кобеляки,899,7752,8.622914349
Костянтиноград,318,2289,7.198113208
Кременчук та Крюків,1819,17074,9.386476086
Лохвиця,634,6460,10.18927445
Лубни,532,2387,4.486842105
Миргород,950,6418,6.755789474
Переяслав,1162,7907,6.80464716
Полтава,1838,20071,10.92002176
Прилуки,1128,8771,7.77570922
Пирятин,456,3543,7.769736842
Ромни,617,6000,9.724473258
Хорол,587,3785,6.448040886
Разом,12557,110728,8.818029784
