,Ревізія 1835,,,Ревізія 1850,,,Різниця,,
Повіт,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.
Гадяцький,48934,50932,99866,44743,47918,92561,-4191,-3014,-7205
Зіньківський,46825,48461,95286,46264,48634,94898,-561,173,-388
Золотоніський,64436,65613,130049,67385,70921,138306,2949,5308,8257
Кобеляцький,47721,50287,9808,58523,61587,120110,10802,11300,22102
Констянтиноградський,50736,51974,102710,53886,55101,108987,3150,3137,6277
Кременчуцький,58195,57048,115243,58892,62676,121568,697,5628,6325
Лохвицький,52217,51474,103691,51292,54262,105557,-925,2791,1866
Лубенський,37525,38757,76282,39389,41890,81279,1864,3133,4997
Миргородський,50032,50908,100940,50059,53167,103226,27,2259,2286
Переслявський,52847,52752,105599,54676,58783,113459,1829,6031,7860
Полтавський,59861,57578,117439,62523,65695,128218,2662,8117,10779
Прилуцький,57588,58807,116395,59850,64047,123897,2262,5240,7502
Пирятинський,47562,49182,96744,49696,52498,102194,2134,3316,5450
Роменський,60091,64430,124521,62194,66409,128603,2103,1979,4082
Хорольський,49228,50965,100193,49594,52685,102279,366,1720,2086
Разом,785798,799168,1584966,808966,856164,1665130,23168,56996,80164
,,,,,,,,,
"Назва: №12, Сравнительная таблица народонаселения уездов, совмесно с городами, по двум последним ревизиям",,,,,,,,,
,,,,,,,,,
У таблицю не включено 195 осіб монахів обох статей,,,,,,,,,
