,Ревізія 1835,,,Ревізія 1850,,,Різниця,,
Повіт,ч,ж,о.с.,ч,ж,о.с.,ч,ж,о.с.
Гадяцький,46367,48467,94834,42446,45506,87752,-4121,-2961,-7082
Зіньківський,43147,44709,87756,42384,44799,87183,-763,90,-673
Золотоніський,61141,62877,124018,64388,68299,132687,3247,5422,8669
Кобеляцький,43653,45898,89551,64622,57696,112358,11009,11798,22807
Констянтиноградський,49676,50959,100726,52692,54006,106698,2925,3047,5972
Кременчуцький,48488,47875,96363,50932,53562,104494,2444,5687,8131
Лохвицький,47819,48091,95910,48269,50828,99097,450,2737,3187
Лубенський,36105,37483,73588,38156,40736,73892,2051,3253,5304
Миргородський,46353,47326,93679,46726,50082,96808,373,2756,3129
Переслявський,48074,49064,97138,50202,55340,105549,2126,6276,8402
Полтавський ,48013,50331,98344,50875,57272,108147,2862,6941,9803
Прилуцький,54099,55355,109454,55392,59736,115128,1293,4401,5694
Пирятинський,46022,47591,94613,47866,50785,98651,1844,3194,5038
Роменський,56816,60739,117555,59422,63181,122603,2606,2442,5048
Хорольський,47011,49176,96187,47519,50975,98494,508,1799,2307
Разом,722875,745921,1468796,751711,802691,1554402,28854,56882,85736
,,,,,,,,,
"Назва: Сравнительная таблица народонаселения уездов, отдельно от городов по двум последним ревизиям (табл. №15)",,,,,,,,,
"Ще є такаж прогресивна таблиця на наст. сторінці, доволі цікава.",,,,,,,,,
